{'n_target': 500, 'pi_target': 0.3, 'iter': 14, 'acc-pilot-test': 0.9620000123977661, 'acc-pilot-train': 0.9944499731063843, 'acc-rw-test': 0.9679999947547913, 'acc-rw-train': 0.9934499859809875, 'acc-ls-test': 0.9520000219345093, 'acc-ls-train': 0.991599977016449, 'acc-oracle': 0.9620000123977661, 'gold-standard': 0.9760000109672546}
{'n_target': 10000, 'pi_target': 0.1, 'iter': 17, 'acc-pilot-test': 0.9771999716758728, 'acc-pilot-train': 0.9893500208854675, 'acc-rw-test': 0.9790999889373779, 'acc-rw-train': 0.9880499839782715, 'acc-ls-test': 0.9775999784469604, 'acc-ls-train': 0.9314000010490417, 'acc-oracle': 0.9771999716758728, 'gold-standard': 0.9739999771118164}
{'n_target': 10000, 'pi_target': 0.5, 'iter': 16, 'acc-pilot-test': 0.9763000011444092, 'acc-pilot-train': 0.9916999936103821, 'acc-rw-test': 0.9764999747276306, 'acc-rw-train': 0.9928500056266785, 'acc-ls-test': 0.9763000011444092, 'acc-ls-train': 0.9916999936103821, 'acc-oracle': 0.9763000011444092, 'gold-standard': 0.968999981880188}
{'n_target': 500, 'pi_target': 0.3, 'iter': 12, 'acc-pilot-test': 0.9660000205039978, 'acc-pilot-train': 0.9878000020980835, 'acc-rw-test': 0.9679999947547913, 'acc-rw-train': 0.9869999885559082, 'acc-ls-test': 0.9620000123977661, 'acc-ls-train': 0.9887999892234802, 'acc-oracle': 0.9660000205039978, 'gold-standard': 0.9629999995231628}
{'n_target': 500, 'pi_target': 0.1, 'iter': 5, 'acc-pilot-test': 0.9520000219345093, 'acc-pilot-train': 0.9899500012397766, 'acc-rw-test': 0.9660000205039978, 'acc-rw-train': 0.987500011920929, 'acc-ls-test': 0.9779999852180481, 'acc-ls-train': 0.9775500297546387, 'acc-oracle': 0.9520000219345093, 'gold-standard': 0.9779999852180481}
{'n_target': 20000, 'pi_target': 0.4, 'iter': 13, 'acc-pilot-test': 0.9769499897956848, 'acc-pilot-train': 0.9944499731063843, 'acc-rw-test': 0.9725499749183655, 'acc-rw-train': 0.9926000237464905, 'acc-ls-test': 0.9760000109672546, 'acc-ls-train': 0.9922999739646912, 'acc-oracle': 0.9769499897956848, 'gold-standard': 0.9729999899864197}
{'n_target': 5000, 'pi_target': 0.3, 'iter': 6, 'acc-pilot-test': 0.9757999777793884, 'acc-pilot-train': 0.9929999709129333, 'acc-rw-test': 0.9664000272750854, 'acc-rw-train': 0.9905499815940857, 'acc-ls-test': 0.9757999777793884, 'acc-ls-train': 0.9887499809265137, 'acc-oracle': 0.9757999777793884, 'gold-standard': 0.9729999899864197}
{'n_target': 5000, 'pi_target': 0.4, 'iter': 17, 'acc-pilot-test': 0.9715999960899353, 'acc-pilot-train': 0.9954500198364258, 'acc-rw-test': 0.9715999960899353, 'acc-rw-train': 0.9915000200271606, 'acc-ls-test': 0.9721999764442444, 'acc-ls-train': 0.9948999881744385, 'acc-oracle': 0.9715999960899353, 'gold-standard': 0.9729999899864197}
{'n_target': 1000, 'pi_target': 0.5, 'iter': 13, 'acc-pilot-test': 0.9700000286102295, 'acc-pilot-train': 0.9959499835968018, 'acc-rw-test': 0.9580000042915344, 'acc-rw-train': 0.9930999875068665, 'acc-ls-test': 0.9700000286102295, 'acc-ls-train': 0.9959499835968018, 'acc-oracle': 0.9700000286102295, 'gold-standard': 0.9710000157356262}
{'n_target': 5000, 'pi_target': 0.5, 'iter': 1, 'acc-pilot-test': 0.975600004196167, 'acc-pilot-train': 0.9900500178337097, 'acc-rw-test': 0.975600004196167, 'acc-rw-train': 0.9914000034332275, 'acc-ls-test': 0.9753999710083008, 'acc-ls-train': 0.9900500178337097, 'acc-oracle': 0.975600004196167, 'gold-standard': 0.9739999771118164}
